molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL176814,CCc1cc([S+]([O-])Cc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,intermediate,1400.0
CHEMBL174364,Cc1cc(CCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,97.0
CHEMBL82798,CCc1ccc(OC)c(CNc2cc(CC)c(C)nc2O)c1,active,32.0
CHEMBL83622,CCc1cc(CCc2nc3ccccc3o2)c(O)nc1C,active,23.0
CHEMBL171919,CCc1cc(SCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,11.0
CHEMBL174267,Cc1nc(O)c(CCc2nc3ccccc3o2)cc1-c1ccccc1,intermediate,1100.0
CHEMBL83300,CCc1cc(NCc2ccccc2N)c(O)nc1C,inactive,28000.0
CHEMBL314003,CCc1cc(NCc2ccccc2COC)c(O)nc1C,inactive,35500.0
CHEMBL315689,CCc1cc(NCc2ncccc2OC)c(O)nc1C,intermediate,1550.0
CHEMBL297115,CCN1c2ncccc2-c2nc(C)cn2-c2cccnc21,inactive,11200.0
CHEMBL268871,CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,19.0
CHEMBL36995,CCOCn1c(Sc2ccccc2)c(CC)c(=O)[nH]c1=O,active,32.0
CHEMBL329720,CCc1cc(CCc2nc3c(C)ccc(C)c3o2)c(O)nc1C,active,28.0
CHEMBL85425,CCc1cc(NCc2ccccc2C#N)c(O)nc1C,active,790.0
CHEMBL87765,CCc1cc(NCc2cc(C)ccc2OC)c(O)nc1C,active,23.0
CHEMBL82904,CCc1ccc(CNc2cc(CC)c(C)nc2O)c(OC)c1,active,510.0
CHEMBL85574,CCc1cc(NCc2nc(C)c(C)cc2OC)c(O)nc1C,active,70.0
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,intermediate,6440.0
CHEMBL107946,Oc1ncccc1C(C#CC1CC1)(OCc1ccncc1)C(F)(F)F,intermediate,8115.0
CHEMBL174311,CCc1cc(OCc2nc3ccccc3o2)c(O)nc1C,active,191.0
CHEMBL367515,CCc1cc(Cc2nc3ccccc3o2)c(O)nc1C,inactive,45000.0
CHEMBL173589,CCCc1cc(CCc2nc3ccccc3o2)c(O)nc1C,active,83.0
CHEMBL83412,CCc1cc(NCc2cc(C)c(C)cc2OC)c(O)nc1C,active,8.0
CHEMBL107899,CCc1cc(C(C#CC2CC2)(OCc2cc(OC)cc(OC)c2)C(F)(F)F)c(O)nc1C,intermediate,3843.0
CHEMBL415320,CCc1cc(NCc2nc3ccccc3o2)c(O)nc1C,active,210.0
CHEMBL83888,CCc1cc(NCc2cc3c(nc2OC)CCCC3)c(O)nc1C,active,35.0
CHEMBL58607,Cc1cccc2c1nc(-c1c(F)cccc1F)n2Cc1ccccc1,intermediate,1600.0
CHEMBL175089,CCc1cc(CNc2nc3ccccc3o2)c(O)nc1C,intermediate,1250.0
CHEMBL176594,Cc1nc(O)c(CCc2nc3ccccc3o2)cc1C(C)C,active,48.0
CHEMBL87284,CCc1cc(NCc2ccccc2SC)c(O)nc1C,intermediate,1500.0
CHEMBL312896,CCc1cc(CNc2cc(CC)c(C)nc2O)c(O)nc1C,active,91.0
CHEMBL105630,CCc1cc(C(C#CC2CC2)(OCc2ccccc2)C(F)(F)F)c(O)nc1C,intermediate,1348.0
CHEMBL173575,CCc1cc(CCc2nc3c(C)ccc(C)c3o2)c(S)nc1C,active,52.0
CHEMBL173868,CCc1cc(CCC(=O)Nc2c(O)cc(Cl)cc2Cl)c(O)nc1C,inactive,300000.0
CHEMBL85142,CCOc1ccccc1CNc1cc(CC)c(C)nc1O,active,350.0
CHEMBL42132,CCN1c2ncccc2-c2ncc(C)n2-c2cccnc21,intermediate,1220.0
CHEMBL53554,Fc1cccc(F)c1C1SCc2nc3ccccc3n21,active,500.0
CHEMBL176982,CCc1cc(CCCc2nc3ccccc3o2)c(O)nc1C,inactive,16000.0
CHEMBL85051,CCc1cc(NCc2ccncc2OC)c(O)nc1C,inactive,110000.0
CHEMBL280527,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1,intermediate,1100.0
CHEMBL320282,Oc1ncccc1C(C#CC1CC1)(OCc1ccccc1)C(F)(F)F,active,11.82
CHEMBL104658,CCCOC(C#CC1CC1)(c1cc(CC)c(C)nc1O)C(F)(F)F,active,105.0
CHEMBL173529,CCc1cc(CCc2ccc3ccccc3n2)c(O)nc1C,intermediate,2450.0
CHEMBL176443,CCc1cc(CCc2nc3cccc(C)c3o2)c(O)nc1C,active,40.0
CHEMBL176587,CCc1cc(/C=C\c2nc3ccccc3o2)c(O)nc1C,intermediate,3000.0
CHEMBL85829,CCc1cc(NCc2ccccc2Cl)c(O)nc1C,intermediate,1450.0
CHEMBL85745,CCc1cc(NCc2ccc(OC)cc2)c(O)nc1C,intermediate,7500.0
CHEMBL82856,CCc1cc(CCc2cc(CC)c(C)nc2OC)c(O)nc1C,active,65.0
CHEMBL268871,CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,19.0
CHEMBL58581,Fc1cccc(F)c1Cn1c(-c2c(F)cccc2F)nc2ccccc21,inactive,110000.0
CHEMBL322004,Oc1ncccc1C(/C=C/c1ccccc1)(OCc1ccccc1)C(F)(F)F,active,43.89
CHEMBL106997,Oc1ncccc1C(C#CC1CC1)(OCc1cccnc1)C(F)(F)F,active,25.56
CHEMBL104738,CCc1cc(C(C#CC2CC2)(OCc2c(F)cccc2Cl)C(F)(F)F)c(O)nc1C,intermediate,6093.0
CHEMBL82439,CCc1cc(CCN2C(=O)c3ccccc3C2=O)c(O)nc1C,intermediate,3700.0
CHEMBL368116,CCc1cc(CCc2nc3c(F)cccc3o2)c(S)nc1C,active,13.0
CHEMBL175037,CCc1cc(/C=C/c2nc3ccccc3o2)c(O)nc1C,intermediate,5900.0
CHEMBL85476,CCc1cc(NCc2ccccc2O)c(O)nc1C,intermediate,4600.0
CHEMBL315290,CCc1cc(NCc2nc(CC)c(C)cc2OC)c(O)nc1C,active,70.0
CHEMBL86064,CCc1cc(NCc2ccccc2)c(O)nc1C,intermediate,5300.0
CHEMBL177016,CCc1cc(CCc2nc3c(C)cccc3o2)c(O)nc1C,active,33.0
CHEMBL176631,CCc1cc(OCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,active,88.0
CHEMBL106659,CCc1cc(C(C#CC2CC2)(OCC#N)C(F)(F)F)c(O)nc1C,intermediate,1842.0
CHEMBL439655,CCc1cc(CCc2ccccn2)c(O)nc1C,inactive,260000.0
CHEMBL177074,CCc1cc(CCc2cc3cnccc3o2)c(O)nc1C,inactive,13500.0
CHEMBL176362,CCc1cc(CCc2nc3c(F)cccc3o2)c(O)nc1C,active,15.0
CHEMBL175162,CCc1cc(CCc2nc3c(F)ccc(F)c3o2)c(S)nc1C,active,15.0
CHEMBL85975,CCc1cc(NCc2cccnc2)c(O)nc1C,inactive,300000.0
CHEMBL367850,CCC1=C(C)NC(N)C(CCc2nc3ccccc3o2)=C1,inactive,100000.0
CHEMBL85830,CCc1cc(NCc2ccccc2C)c(O)nc1C,intermediate,2200.0
CHEMBL83356,CCc1ccccc1CNc1cc(CC)c(C)nc1O,intermediate,6900.0
CHEMBL83635,CCc1cc(CNc2cc(CC)c(C)nc2O)c(OC)cc1C,active,33.0
CHEMBL297115,CCN1c2ncccc2-c2nc(C)cn2-c2cccnc21,inactive,11200.0
CHEMBL321786,CCc1cc(C(C#CC2CC2)(OCc2c(F)cccc2OC)C(F)(F)F)c(O)nc1C,intermediate,1951.0
CHEMBL174899,Cc1nc(O)c(CCc2nc3ccccc3o2)cc1C(N)=O,inactive,41500.0
CHEMBL177192,Cc1nc(O)c(CCc2nc3ccccc3o2)cc1N(C)C,intermediate,1850.0
CHEMBL314883,CCc1cc(NCc2cc3c(cc2OC)CCC3)c(O)nc1C,active,40.0
CHEMBL176463,CCc1cc(CCC2=NC3CCCCC3O2)c(O)nc1C,active,58.0
CHEMBL173280,CCc1cc(NCC(=O)Nc2c(O)cc(Cl)cc2Cl)c(O)nc1C,inactive,300000.0
CHEMBL82621,CCc1cc(NCc2cnccc2OC)c(O)nc1C,inactive,10000.0
CHEMBL264184,O=S(=O)(c1ccccc1)c1c(C2=NCCN2)[nH]c2ccc(Cl)cc12,active,358.0
CHEMBL264184,O=S(=O)(c1ccccc1)c1c(C2=NCCN2)[nH]c2ccc(Cl)cc12,inactive,300000.0
CHEMBL357261,O=C1CSC(c2c(Cl)cccc2Cl)N1c1ccc(Br)cn1,inactive,56600.0
CHEMBL25100,O=[N+]([O-])c1cccc(Cn2c(Br)nc3cc(Cl)c(Cl)cc32)c1,inactive,32000.0
CHEMBL148371,O=S(=O)(c1ccccc1)c1c(-c2ncc[nH]2)[nH]c2ccc(Cl)cc12,active,23.0
CHEMBL148371,O=S(=O)(c1ccccc1)c1c(-c2ncc[nH]2)[nH]c2ccc(Cl)cc12,intermediate,1070.0
CHEMBL148371,O=S(=O)(c1ccccc1)c1c(-c2ncc[nH]2)[nH]c2ccc(Cl)cc12,inactive,300000.0
CHEMBL282268,Clc1ccc(Cn2c(Br)nc3cc(Cl)c(Cl)cc32)cc1Cl,inactive,100000.0
CHEMBL276979,COc1ccc(Cn2c(Br)nc3cc(Cl)c(Cl)cc32)cc1,inactive,100000.0
CHEMBL147210,CCCc1[nH]c(-c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2ccccc2)nc1C,active,210.0
CHEMBL147210,CCCc1[nH]c(-c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2ccccc2)nc1C,inactive,300000.0
CHEMBL144742,O=S(=O)(c1ccccc1)c1c(C2=NCCS2)[nH]c2ccc(Cl)cc12,intermediate,1250.0
CHEMBL144742,O=S(=O)(c1ccccc1)c1c(C2=NCCS2)[nH]c2ccc(Cl)cc12,inactive,300000.0
CHEMBL346225,Cc1ccc(N2C(=O)CSC2c2c(C)cccc2Cl)nc1,inactive,42400.0
CHEMBL50019,Cc1ccnc(N2C(=O)CSC2c2c(F)cccc2F)c1,intermediate,2840.0
CHEMBL114876,Cc1cn([C@H]2CC(F)(F)[C@@H](CO)O2)c(=O)[nH]c1=O,intermediate,8800.0
